target,fold,seed,logloss,mean,std
S3,0,7,0.5926962370100191,0.5388939615182169,0.0383720481996385
S3,1,7,0.547175146670314,0.5388939615182169,0.0383720481996385
S3,2,7,0.4735384026879405,0.5388939615182169,0.0383720481996385
S3,3,7,0.5566379677664222,0.5388939615182169,0.0383720481996385
S3,4,7,0.512583729479958,0.5388939615182169,0.0383720481996385
S3,0,314,0.5285698972535967,0.5388939615182169,0.0383720481996385
S3,1,314,0.5103556058858166,0.5388939615182169,0.0383720481996385
S3,2,314,0.5580679890736718,0.5388939615182169,0.0383720481996385
S3,3,314,0.5961442959114355,0.5388939615182169,0.0383720481996385
S3,4,314,0.5738810781988045,0.5388939615182169,0.0383720481996385
S3,0,2025,0.5821514287026087,0.5388939615182169,0.0383720481996385
S3,1,2025,0.5083953695935024,0.5388939615182169,0.0383720481996385
S3,2,2025,0.5093261722751726,0.5388939615182169,0.0383720481996385
S3,3,2025,0.5738394478469172,0.5388939615182169,0.0383720481996385
S3,4,2025,0.5765143542269499,0.5388939615182169,0.0383720481996385
S3,0,777,0.5399977219886148,0.5388939615182169,0.0383720481996385
S3,1,777,0.6081851901283882,0.5388939615182169,0.0383720481996385
S3,2,777,0.5313032993913451,0.5388939615182169,0.0383720481996385
S3,3,777,0.5135700633021397,0.5388939615182169,0.0383720481996385
S3,4,777,0.5747314557445107,0.5388939615182169,0.0383720481996385
S3,0,555,0.6229762744197201,0.5388939615182169,0.0383720481996385
S3,1,555,0.5871599521532354,0.5388939615182169,0.0383720481996385
S3,2,555,0.4783681075780923,0.5388939615182169,0.0383720481996385
S3,3,555,0.5133535159523686,0.5388939615182169,0.0383720481996385
S3,4,555,0.5724561548540267,0.5388939615182169,0.0383720481996385
S4,0,42,0.6275569731043411,0.6108093065269743,0.02600489841761146
S4,1,42,0.6173162522974326,0.6108093065269743,0.02600489841761146
S4,2,42,0.6019813822809452,0.6108093065269743,0.02600489841761146
S4,3,42,0.6035164078744721,0.6108093065269743,0.02600489841761146
S4,4,42,0.6036755170776799,0.6108093065269743,0.02600489841761146
S4,0,1234,0.5647003664839823,0.6108093065269743,0.02600489841761146
S4,1,1234,0.6046861039602117,0.6108093065269743,0.02600489841761146
S4,2,1234,0.650098779604281,0.6108093065269743,0.02600489841761146
S4,3,1234,0.5946465987838958,0.6108093065269743,0.02600489841761146
S4,4,1234,0.6399146838025004,0.6108093065269743,0.02600489841761146
S4,0,9999,0.57671457379737,0.6108093065269743,0.02600489841761146
S4,1,9999,0.5846552699780033,0.6108093065269743,0.02600489841761146
S4,2,9999,0.6644601898190673,0.6108093065269743,0.02600489841761146
